chemin,class,methode,methode_LOC,methode_CLOC,methode_DC,CC,methode_BC,,
javaProjects\chart\labels\StandardCategorySeriesLabelGenerator.java,StandardCategorySeriesLabelGenerator,createItemArray_CategoryDataset_int,5,,,1,,,
javaProjects\chart\labels\StandardCategorySeriesLabelGenerator.java,StandardCategorySeriesLabelGenerator,clone,3,,,1,,,
javaProjects\chart\labels\StandardCategorySeriesLabelGenerator.java,StandardCategorySeriesLabelGenerator,equals_Object,14,,,4,,,
javaProjects\chart\labels\StandardCategorySeriesLabelGenerator.java,StandardCategorySeriesLabelGenerator,hashCode,5,,,1,,,
javaProjects\chart\labels\StandardCategoryToolTipGenerator.java,StandardCategoryToolTipGenerator,StandardCategoryToolTipGenerator,3,,,1,,,
javaProjects\chart\labels\StandardCategoryToolTipGenerator.java,StandardCategoryToolTipGenerator,StandardCategoryToolTipGenerator_String_NumberFormat,,,NaN,,,,
javaProjects\chart\labels\StandardCategoryToolTipGenerator.java,StandardCategoryToolTipGenerator,StandardCategoryToolTipGenerator_String_DateFormat,,,NaN,,,,
javaProjects\chart\labels\StandardCategoryToolTipGenerator.java,StandardCategoryToolTipGenerator,generateToolTip_CategoryDataset_int_int,,,NaN,,,,
javaProjects\chart\labels\StandardCategoryToolTipGenerator.java,StandardCategoryToolTipGenerator,equals_Object,9,,,3,,,
javaProjects\chart\labels\StandardCategoryToolTipGenerator.java,StandardCategoryToolTipGenerator,hashCode,4,,,1,,,
javaProjects\chart\labels\StandardCrosshairLabelGenerator.java,StandardCrosshairLabelGenerator,StandardCrosshairLabelGenerator,3,,,1,,,
javaProjects\chart\labels\StandardCrosshairLabelGenerator.java,StandardCrosshairLabelGenerator,StandardCrosshairLabelGenerator_String_NumberFormat,,,NaN,,,,
javaProjects\chart\labels\StandardCrosshairLabelGenerator.java,StandardCrosshairLabelGenerator,getLabelTemplate,3,,,1,,,
javaProjects\chart\labels\StandardCrosshairLabelGenerator.java,StandardCrosshairLabelGenerator,getNumberFormat,3,,,1,,,
javaProjects\chart\labels\StandardCrosshairLabelGenerator.java,StandardCrosshairLabelGenerator,generateLabel_Crosshair,6,,,1,,,
javaProjects\chart\labels\StandardCrosshairLabelGenerator.java,StandardCrosshairLabelGenerator,equals_Object,17,,,5,,,
javaProjects\chart\labels\StandardCrosshairLabelGenerator.java,StandardCrosshairLabelGenerator,hashCode,3,,,1,,,
javaProjects\chart\labels\StandardPieSectionLabelGenerator.java,StandardPieSectionLabelGenerator,StandardPieSectionLabelGenerator,4,,,1,,,
javaProjects\chart\labels\StandardPieSectionLabelGenerator.java,StandardPieSectionLabelGenerator,StandardPieSectionLabelGenerator_Locale,3,,,1,,,
javaProjects\chart\labels\StandardPieSectionLabelGenerator.java,StandardPieSectionLabelGenerator,StandardPieSectionLabelGenerator_String,4,,,1,,,
javaProjects\chart\labels\StandardPieSectionLabelGenerator.java,StandardPieSectionLabelGenerator,StandardPieSectionLabelGenerator_String_Locale,4,,,1,,,
javaProjects\chart\labels\StandardPieSectionLabelGenerator.java,StandardPieSectionLabelGenerator,StandardPieSectionLabelGenerator_String_NumberFormat_NumberFormat,,,NaN,,,,
javaProjects\chart\labels\StandardPieSectionLabelGenerator.java,StandardPieSectionLabelGenerator,getAttributedLabel_int,3,,,1,,,
javaProjects\chart\labels\StandardPieSectionLabelGenerator.java,StandardPieSectionLabelGenerator,setAttributedLabel_int_AttributedString,3,,,1,,,
javaProjects\chart\labels\StandardPieSectionLabelGenerator.java,StandardPieSectionLabelGenerator,generateSectionLabel_PieDataset_Comparable,3,,,1,,,
javaProjects\chart\labels\StandardPieSectionLabelGenerator.java,StandardPieSectionLabelGenerator,generateAttributedSectionLabel_PieDataset_Comparable,,,NaN,,,,
javaProjects\chart\labels\StandardPieSectionLabelGenerator.java,StandardPieSectionLabelGenerator,equals_Object,14,,,4,,,
javaProjects\chart\labels\StandardPieSectionLabelGenerator.java,StandardPieSectionLabelGenerator,hashCode,5,,,1,,,
javaProjects\chart\labels\StandardPieSectionLabelGenerator.java,StandardPieSectionLabelGenerator,clone,7,,,1,,,
javaProjects\chart\labels\StandardPieToolTipGenerator.java,StandardPieToolTipGenerator,"{}:_{1},,,,NaN,,.
javaProjects\chart\labels\StandardPieToolTipGenerator.java,StandardPieToolTipGenerator,StandardPieToolTipGenerator,3,,.,1,.
javaProjects\chart\labels\StandardPieToolTipGenerator.java,StandardPieToolTipGenerator,StandardPieToolTipGenerator_Locale,3,,.,1,.
javaProjects\chart\labels\StandardPieToolTipGenerator.java,StandardPieToolTipGenerator,StandardPieToolTipGenerator_String,3,,.,1,.
javaProjects\chart\labels\StandardPieToolTipGenerator.java,StandardPieToolTipGenerator,StandardPieToolTipGenerator_String_Locale,4,,.,1,.
javaProjects\chart\labels\StandardPieToolTipGenerator.java,StandardPieToolTipGenerator,StandardPieToolTipGenerator_String_NumberFormat_NumberFormat,,,NaN,,.
javaProjects\chart\labels\StandardPieToolTipGenerator.java,StandardPieToolTipGenerator,generateToolTip_PieDataset_Comparable,3,,.,1,.
javaProjects\chart\labels\StandardPieToolTipGenerator.java,StandardPieToolTipGenerator,clone,3,,.,1,.
javaProjects\chart\labels\StandardXYItemLabelGenerator.java,StandardXYItemLabelGenerator,StandardXYItemLabelGenerator,4,,.,1,.
javaProjects\chart\labels\StandardXYItemLabelGenerator.java,StandardXYItemLabelGenerator,StandardXYItemLabelGenerator_String,4,,.,1,.
javaProjects\chart\labels\StandardXYItemLabelGenerator.java,StandardXYItemLabelGenerator,StandardXYItemLabelGenerator_String_NumberFormat_NumberFormat,,,NaN,,.
javaProjects\chart\labels\StandardXYItemLabelGenerator.java,StandardXYItemLabelGenerator,StandardXYItemLabelGenerator_String_DateFormat_NumberFormat,,,NaN,,.
javaProjects\chart\labels\StandardXYItemLabelGenerator.java,StandardXYItemLabelGenerator,StandardXYItemLabelGenerator_String_NumberFormat_DateFormat,,,NaN,,.
javaProjects\chart\labels\StandardXYItemLabelGenerator.java,StandardXYItemLabelGenerator,StandardXYItemLabelGenerator_String_DateFormat_DateFormat,,,NaN,,.
javaProjects\chart\labels\StandardXYItemLabelGenerator.java,StandardXYItemLabelGenerator,generateLabel_XYDataset_int_int,3,,.,1,.
javaProjects\chart\labels\StandardXYItemLabelGenerator.java,StandardXYItemLabelGenerator,clone,3,,.,1,.
javaProjects\chart\labels\StandardXYItemLabelGenerator.java,StandardXYItemLabelGenerator,equals_Object,9,,.,3,.
javaProjects\chart\labels\StandardXYItemLabelGenerator.java,StandardXYItemLabelGenerator,hashCode,3,,.,1,.
javaProjects\chart\labels\StandardXYSeriesLabelGenerator.java,StandardXYSeriesLabelGenerator,StandardXYSeriesLabelGenerator,3,,.,1,.
javaProjects\chart\labels\StandardXYSeriesLabelGenerator.java,StandardXYSeriesLabelGenerator,StandardXYSeriesLabelGenerator_String,4,,.,1,.
javaProjects\chart\labels\StandardXYSeriesLabelGenerator.java,StandardXYSeriesLabelGenerator,generateLabel_XYDataset_int,7,,.,1,.
javaProjects\chart\labels\StandardXYSeriesLabelGenerator.java,StandardXYSeriesLabelGenerator,createItemArray_XYDataset_int,5,,.,1,.
javaProjects\chart\labels\StandardXYSeriesLabelGenerator.java,StandardXYSeriesLabelGenerator,clone,3,,.,1,.
javaProjects\chart\labels\StandardXYSeriesLabelGenerator.java,StandardXYSeriesLabelGenerator,equals_Object,14,,.,4,.
javaProjects\chart\labels\StandardXYSeriesLabelGenerator.java,StandardXYSeriesLabelGenerator,hashCode,5,,.,1,.
javaProjects\chart\labels\StandardXYToolTipGenerator.java,StandardXYToolTipGenerator,{}:_{1}",,,,NaN,,,
javaProjects\chart\labels\StandardXYToolTipGenerator.java,StandardXYToolTipGenerator,getTimeSeriesInstance,4,,,1,,,
javaProjects\chart\labels\StandardXYToolTipGenerator.java,StandardXYToolTipGenerator,StandardXYToolTipGenerator,4,,,1,,,
javaProjects\chart\labels\StandardXYToolTipGenerator.java,StandardXYToolTipGenerator,StandardXYToolTipGenerator_String_NumberFormat_NumberFormat,,,NaN,,,,
javaProjects\chart\labels\StandardXYToolTipGenerator.java,StandardXYToolTipGenerator,StandardXYToolTipGenerator_String_DateFormat_NumberFormat,,,NaN,,,,
javaProjects\chart\labels\StandardXYToolTipGenerator.java,StandardXYToolTipGenerator,StandardXYToolTipGenerator_String_NumberFormat_DateFormat,,,NaN,,,,
javaProjects\chart\labels\StandardXYToolTipGenerator.java,StandardXYToolTipGenerator,StandardXYToolTipGenerator_String_DateFormat_DateFormat,,,NaN,,,,
javaProjects\chart\labels\StandardXYToolTipGenerator.java,StandardXYToolTipGenerator,generateToolTip_XYDataset_int_int,3,,,1,,,
javaProjects\chart\labels\StandardXYToolTipGenerator.java,StandardXYToolTipGenerator,equals_Object,9,,,3,,,
javaProjects\chart\labels\StandardXYToolTipGenerator.java,StandardXYToolTipGenerator,clone,3,,,1,,,
javaProjects\chart\labels\StandardXYToolTipGenerator.java,StandardXYToolTipGenerator,hashCode,4,,,1,,,
