chemin,class,methode,methode_LOC,methode_CLOC,methode_DC,CC,methode_BC,,
javaProjects\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation,setArrowLength_double,4,,,1,,,
javaProjects\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation,getArrowWidth,3,,,1,,,
javaProjects\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation,setArrowWidth_double,4,,,1,,,
javaProjects\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation,getArrowStroke,3,,,1,,,
javaProjects\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation,setArrowStroke_Stroke,5,,,1,,,
javaProjects\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation,getArrowPaint,3,,,1,,,
javaProjects\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation,setArrowPaint_Paint,5,,,1,,,
javaProjects\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation,draw_Graphics2D_CategoryPlot_Rectangle2D_CategoryAxis_ValueAxis,,,NaN,,,,
javaProjects\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation,equals_Object,37,,,12,,,
javaProjects\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation,hashCode,18,,,1,,,
javaProjects\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation,clone,3,,,1,,,
javaProjects\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation,writeObject_ObjectOutputStream,5,,,1,,,
javaProjects\chart\annotations\CategoryPointerAnnotation.java,CategoryPointerAnnotation,readObject_ObjectInputStream,1,,,1,,,
javaProjects\chart\annotations\CategoryTextAnnotation.java,CategoryTextAnnotation,CategoryTextAnnotation_String_Comparable_double,,,NaN,,,,
javaProjects\chart\annotations\CategoryTextAnnotation.java,CategoryTextAnnotation,getCategory,3,,,1,,,
javaProjects\chart\annotations\CategoryTextAnnotation.java,CategoryTextAnnotation,setCategory_Comparable,5,,,1,,,
javaProjects\chart\annotations\CategoryTextAnnotation.java,CategoryTextAnnotation,getCategoryAnchor,3,,,1,,,
javaProjects\chart\annotations\CategoryTextAnnotation.java,CategoryTextAnnotation,setCategoryAnchor_CategoryAnchor,5,,,1,,,
javaProjects\chart\annotations\CategoryTextAnnotation.java,CategoryTextAnnotation,getValue,3,,,1,,,
javaProjects\chart\annotations\CategoryTextAnnotation.java,CategoryTextAnnotation,setValue_double,4,,,1,,,
javaProjects\chart\annotations\CategoryTextAnnotation.java,CategoryTextAnnotation,draw_Graphics2D_CategoryPlot_Rectangle2D_CategoryAxis_ValueAxis,,,NaN,,,,
javaProjects\chart\annotations\CategoryTextAnnotation.java,CategoryTextAnnotation,equals_Object,22,,,7,,,
javaProjects\chart\annotations\CategoryTextAnnotation.java,CategoryTextAnnotation,hashCode,8,,,1,,,
javaProjects\chart\annotations\CategoryTextAnnotation.java,CategoryTextAnnotation,clone,3,,,1,,,
javaProjects\chart\annotations\TextAnnotation.java,TextAnnotation,TextAnnotation_String,1,,,1,,,
javaProjects\chart\annotations\TextAnnotation.java,TextAnnotation,getText,3,,,1,,,
javaProjects\chart\annotations\TextAnnotation.java,TextAnnotation,setText_String,5,,,1,,,
javaProjects\chart\annotations\TextAnnotation.java,TextAnnotation,getFont,3,,,1,,,
javaProjects\chart\annotations\TextAnnotation.java,TextAnnotation,setFont_Font,5,,,1,,,
javaProjects\chart\annotations\TextAnnotation.java,TextAnnotation,getPaint,3,,,1,,,
javaProjects\chart\annotations\TextAnnotation.java,TextAnnotation,setPaint_Paint,5,,,1,,,
javaProjects\chart\annotations\TextAnnotation.java,TextAnnotation,getTextAnchor,3,,,1,,,
javaProjects\chart\annotations\TextAnnotation.java,TextAnnotation,setTextAnchor_TextAnchor,5,,,1,,,
javaProjects\chart\annotations\TextAnnotation.java,TextAnnotation,getRotationAnchor,3,,,1,,,
javaProjects\chart\annotations\TextAnnotation.java,TextAnnotation,setRotationAnchor_TextAnchor,5,,,1,,,
javaProjects\chart\annotations\TextAnnotation.java,TextAnnotation,getRotationAngle,3,,,1,,,
javaProjects\chart\annotations\TextAnnotation.java,TextAnnotation,setRotationAngle_double,4,,,1,,,
javaProjects\chart\annotations\TextAnnotation.java,TextAnnotation,equals_Object,32,2,0.625,9,0.69444445,,
javaProjects\chart\annotations\TextAnnotation.java,TextAnnotation,hashCode,11,,,1,,,
javaProjects\chart\annotations\TextAnnotation.java,TextAnnotation,writeObject_ObjectOutputStream,4,,,1,,,
